Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BOATHOUSE RESIDENCES,"1,950,000","1,463.9","1,332",Dec-24,UPPER SERANGOON VIEW,Resale,Strata,136,"14,338",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,185,000",678.13,"1,747",Dec-24,TAMPINES LANE,Resale,Strata,63,"18,810",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
PINE GROVE,"1,610,000","1,700.71",947,Dec-24,PINE GROVE,Resale,Strata,158,"10,190",-,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,06 to 10
THE INTERLACE,"1,770,000","1,054.87","1,678",Dec-24,DEPOT ROAD,Resale,Strata,98,"18,061",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,06 to 10
38 I SUITES,"1,098,888","1,044.11","1,052",Dec-24,IPOH LANE,Resale,Strata,97,"11,329",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
RIVERBANK @ FERNVALE,"980,000",710.42,"1,379",Dec-24,FERNVALE CLOSE,Resale,Strata,66,"14,848",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
STRAITS RESIDENCES,"638,000",344.45,"1,852",Dec-24,JOO CHIAT PLACE,Resale,Strata,32,"19,938",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
KIM KEAT HOUSE,"1,250,000","1,097.93","1,139",Dec-24,KIM KEAT ROAD,Resale,Strata,102,"12,255",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
LEVENUE,"790,000",473.62,"1,668",Dec-24,LENGKONG EMPAT,Resale,Strata,44,"17,955",-,Apartment,1,Freehold,14,Outside Central Region,11 to 15
CUSCADEN RESERVE,"2,838,000",936.47,"3,031",Dec-24,CUSCADEN ROAD,Resale,Strata,87,"32,621",-,Condominium,1,99 yrs lease commencing from 2018,10,Core Central Region,06 to 10
MARTIN MODERN,"2,880,000","1,011.82","2,846",Dec-24,MARTIN PLACE,Resale,Strata,94,"30,638",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,21 to 25
BOTANNIA,"2,188,000","1,270.15","1,723",Dec-24,WEST COAST PARK,Resale,Strata,118,"18,542",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
CITYLIGHTS,"1,000,000",559.73,"1,787",Dec-24,JELLICOE ROAD,Resale,Strata,52,"19,231",-,Condominium,1,99 yrs lease commencing from 2004,08,Rest of Central Region,06 to 10
MERAPRIME,"2,268,000","1,119.46","2,026",Dec-24,JALAN BUKIT HO SWEE,Resale,Strata,104,"21,808",-,Condominium,1,99 yrs lease commencing from 2003,03,Rest of Central Region,16 to 20
TREASURE AT TAMPINES,"1,100,000",678.13,"1,622",Dec-24,TAMPINES LANE,Resale,Strata,63,"17,460",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
FORETT@BUKIT TIMAH,"3,380,000","1,582.31","2,136",Dec-24,TOH TUCK ROAD,Sub Sale,Strata,147,"22,993",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
THE BEACON,"1,420,000",807.3,"1,759",Dec-24,CANTONMENT ROAD,Resale,Strata,75,"18,933",-,Apartment,1,99 yrs lease commencing from 2004,02,Rest of Central Region,16 to 20
8 SAINT THOMAS,"2,500,000",871.88,"2,867",Dec-24,ST. THOMAS WALK,Resale,Strata,81,"30,864",-,Condominium,1,Freehold,09,Core Central Region,16 to 20
THE FLORENCE RESIDENCES,"1,290,000",721.19,"1,789",Dec-24,HOUGANG AVENUE 2,Sub Sale,Strata,67,"19,254",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
CAVENAGH COURT,"3,650,000","1,862.17","1,960",Dec-24,CAVENAGH ROAD,Resale,Strata,173,"21,098",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
MENDON SPRING,"1,350,000","1,065.64","1,267",Dec-24,PASIR PANJANG ROAD,Resale,Strata,99,"13,636",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE COLLECTIVE AT ONE SOPHIA,"1,514,000",548.96,"2,758",Dec-24,SOPHIA ROAD,New Sale,Strata,51,"29,686",-,Apartment,1,99 yrs lease commencing from 2023,09,Core Central Region,06 to 10
THE COLLECTIVE AT ONE SOPHIA,"2,186,000",764.24,"2,860",Dec-24,SOPHIA ROAD,New Sale,Strata,71,"30,789",-,Apartment,1,99 yrs lease commencing from 2023,09,Core Central Region,16 to 20
MELVILLE PARK,"850,000",936.47,908,Dec-24,SIMEI STREET 1,Resale,Strata,87,"9,770",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
HILLOCK GREEN,"2,133,000","1,022.58","2,086",Dec-24,LENTOR CENTRAL,New Sale,Strata,95,"22,453",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05
HILLOCK GREEN,"2,187,000",947.23,"2,309",Dec-24,LENTOR CENTRAL,New Sale,Strata,88,"24,852",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20
UNION SQUARE RESIDENCES,"2,209,000",742.72,"2,974",Dec-24,HAVELOCK ROAD,New Sale,Strata,69,"32,014",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,06 to 10
UNION SQUARE RESIDENCES,"1,490,000",462.85,"3,219",Dec-24,HAVELOCK ROAD,New Sale,Strata,43,"34,651",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,16 to 20
CONCOURSE SKYLINE,"1,660,000",818.06,"2,029",Dec-24,BEACH ROAD,Resale,Strata,76,"21,842",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,26 to 30
THE BOTANY AT DAIRY FARM,"2,084,000","1,033.34","2,017",Dec-24,DAIRY FARM WALK,New Sale,Strata,96,"21,708",-,Condominium,1,99 yrs lease commencing from 2022,23,Outside Central Region,01 to 05
THE CONTINUUM,"2,860,000","1,065.64","2,684",Dec-24,THIAM SIEW AVENUE,New Sale,Strata,99,"28,889",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
PINETREE HILL,"3,093,000","1,216.33","2,543",Dec-24,PINE GROVE,New Sale,Strata,113,"27,372",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,11 to 15
ROBIN RESIDENCES,"2,100,000",958,"2,192",Dec-24,ROBIN DRIVE,Resale,Strata,89,"23,596",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
HILLHAVEN,"2,452,567","1,259.39","1,947",Dec-24,HILLVIEW RISE,New Sale,Strata,117,"20,962",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,01 to 05
FOURTH AVENUE RESIDENCES,"1,768,000",710.42,"2,489",Dec-24,FOURTH AVENUE,Resale,Strata,66,"26,788",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05
8@BT,"2,848,000","1,001.05","2,845",Dec-24,BUKIT TIMAH LINK,New Sale,Strata,93,"30,624",-,Condominium,1,99 yrs lease commencing from 2023,21,Rest of Central Region,16 to 20
THE SAIL @ MARINA BAY,"1,850,000",861.12,"2,148",Dec-24,MARINA BOULEVARD,Resale,Strata,80,"23,125",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,36 to 40
SORA,"2,134,000",936.47,"2,279",Dec-24,YUAN CHING ROAD,New Sale,Strata,87,"24,529",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,06 to 10
THE LAKEGARDEN RESIDENCES,"2,016,300",925.7,"2,178",Dec-24,YUAN CHING ROAD,New Sale,Strata,86,"23,445",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,11 to 15
AMBER PARK,"1,880,000",678.13,"2,772",Dec-24,AMBER GARDENS,Resale,Strata,63,"29,841",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
