Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE HILL @ONE-NORTH,"2,560,932","1,044.11","2,453",Jun-25,SLIM BARRACKS RISE,New Sale,Strata,97,"26,401",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,06 to 10
BULLION PARK,"1,900,000","1,237.86","1,535",Jun-25,LENTOR LOOP,Resale,Strata,115,"16,522",-,Condominium,1,Freehold,26,Outside Central Region,11 to 15
THE HILL @ONE-NORTH,"2,665,000","1,065.64","2,501",Jun-25,SLIM BARRACKS RISE,New Sale,Strata,99,"26,919",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,06 to 10
THE PROMENADE@PELIKAT,"1,188,000",968.76,"1,226",Jun-25,JALAN PELIKAT,Resale,Strata,90,"13,200",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
COCO PALMS,"808,000",462.85,"1,746",Jun-25,PASIR RIS GROVE,Resale,Strata,43,"18,791",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
THE LOFT,"3,200,000","1,345.5","2,378",Jun-25,NASSIM HILL,Resale,Strata,125,"25,600",-,Condominium,1,99 yrs lease commencing from 1999,10,Core Central Region,01 to 05
THE VERVE,"1,290,000",818.06,"1,577",Jun-25,JALAN RAJAH,Resale,Strata,76,"16,974",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
HIGH PARK RESIDENCES,"960,000",592.02,"1,622",Jun-25,FERNVALE ROAD,Resale,Strata,55,"17,455",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
SCENECA RESIDENCE,"3,060,000","1,517.72","2,016",Jun-25,TANAH MERAH KECHIL LINK,New Sale,Strata,141,"21,702",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,11 to 15
FLO RESIDENCE,"1,500,000","1,011.82","1,482",Jun-25,PUNGGOL FIELD WALK,Resale,Strata,94,"15,957",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
ONE MARINA GARDENS,"2,691,861",904.18,"2,977",Jun-25,MARINA GARDENS LANE,New Sale,Strata,84,"32,046",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,21 to 25
AMBER HOUSE,"2,115,670",731.95,"2,890",Jun-25,AMBER GARDENS,New Sale,Strata,68,"31,113",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER HOUSE,"2,212,295",753.48,"2,936",Jun-25,AMBER GARDENS,New Sale,Strata,70,"31,604",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER HOUSE,"2,167,200",731.95,"2,961",Jun-25,AMBER GARDENS,New Sale,Strata,68,"31,871",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER HOUSE,"2,221,305",753.48,"2,948",Jun-25,AMBER GARDENS,New Sale,Strata,70,"31,733",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMBER HOUSE,"3,538,465","1,216.33","2,909",Jun-25,AMBER GARDENS,New Sale,Strata,113,"31,314",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMBER HOUSE,"2,243,150",753.48,"2,977",Jun-25,AMBER GARDENS,New Sale,Strata,70,"32,045",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
