Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
ARCHIPELAGO,"680,000",527.44,"1,289",Dec-20,BEDOK RESERVOIR ROAD,Resale,Strata,49,"13,878",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
CLAVON,"818,000",527.44,"1,551",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,49,"16,694",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
J GATEWAY,"1,150,000",742.72,"1,548",Dec-20,GATEWAY DRIVE,Resale,Strata,69,"16,667",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,01 to 05
CLAVON,"1,465,000",958,"1,529",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,89,"16,461",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
CLAVON,"1,051,000",678.13,"1,550",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,63,"16,683",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
CLAVON,"1,504,000",958,"1,570",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,89,"16,899",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
CLAVON,"1,244,000",764.24,"1,628",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,71,"17,521",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
CLAVON,"1,816,000","1,130.22","1,607",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,105,"17,295",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
CLAVON,"1,260,000",764.24,"1,649",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,71,"17,746",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
CLAVON,"1,242,000",764.24,"1,625",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,71,"17,493",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
CLAVON,"2,555,000","1,582.31","1,615",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,147,"17,381",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,31 to 35
CLAVON,"1,306,000",764.24,"1,709",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,71,"18,394",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,31 to 35
CLAVON,"1,373,000",764.24,"1,797",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,71,"19,338",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,36 to 40
THE ATRIA AT MEYER,"2,600,000","1,474.67","1,763",Dec-20,MEYER ROAD,Resale,Strata,137,"18,978",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
KENT RIDGE HILL RESIDENCES,"1,722,000",958,"1,798",Dec-20,SOUTH BUONA VISTA ROAD,New Sale,Strata,89,"19,348",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"2,750,000","1,733","1,587",Dec-20,KEPPEL BAY VIEW,Resale,Strata,161,"17,081",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,06 to 10
CASA MERAH,"1,138,000",947.23,"1,201",Dec-20,TANAH MERAH KECHIL AVENUE,Resale,Strata,88,"12,932",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,06 to 10
CLAVON,"1,060,000",678.13,"1,563",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,63,"16,825",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
DAIRY FARM RESIDENCES,"1,720,000","1,140.98","1,507",Dec-20,DAIRY FARM LANE,New Sale,Strata,106,"16,226",-,Apartment,1,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05
CLAVON,"1,744,000","1,130.22","1,543",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,105,"16,610",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
CLAVON,"1,096,000",678.13,"1,616",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,63,"17,397",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
CLAVON,"1,256,000",764.24,"1,643",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,71,"17,690",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
BEACON HEIGHTS,"810,000",667.37,"1,214",Dec-20,MAR THOMA ROAD,Resale,Strata,62,"13,065",-,Condominium,1,999 yrs lease commencing from 1882,12,Rest of Central Region,16 to 20
CLAVON,"2,070,000","1,280.92","1,616",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,119,"17,395",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
CLAVON,"1,598,000",958,"1,668",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,89,"17,955",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
CLAVON,"1,140,000",678.13,"1,681",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,63,"18,095",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
CLAVON,"939,000",527.44,"1,780",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,49,"19,163",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,26 to 30
CLAVON,"1,279,000",764.24,"1,674",Dec-20,CLEMENTI AVENUE 1,New Sale,Strata,71,"18,014",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,31 to 35
THE FLORENCE RESIDENCES,"1,051,000",635.08,"1,655",Dec-20,HOUGANG AVENUE 2,New Sale,Strata,59,"17,814",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
PARC CLEMATIS,"2,241,000","1,291.68","1,735",Dec-20,JALAN LEMPENG,New Sale,Strata,120,"18,675",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
PARC CLEMATIS,"910,000",516.67,"1,761",Dec-20,JALAN LEMPENG,New Sale,Strata,48,"18,958",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
PARC CLEMATIS,"1,733,000","1,044.11","1,660",Dec-20,JALAN LEMPENG,New Sale,Strata,97,"17,866",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
PARC CLEMATIS,"1,161,500",721.19,"1,611",Dec-20,JALAN LEMPENG,New Sale,Strata,67,"17,336",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
PRINCIPAL GARDEN,"1,590,000",796.54,"1,996",Dec-20,PRINCE CHARLES CRESCENT,Resale,Strata,74,"21,486",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
