Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Area (SQM),Unit Price ($ PSM),Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2025,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km,Floor_Level_Category,Type_of_Sale_Encoded,Property_Type_Encoded,Market_Segment_Encoded
THE ARCADIA,4650000.0,3735.11,1245.0,2025-06-01,347.0,13401.0,1.33337474399547,103.811275631559,235 ARCADIA ROAD THE ARCADIA SINGAPORE 289843,7.111379394487015,3.0,1,0,0,9,6,5,2.0,1.0,1,0
PAVILION 11,2058000.0,958.0,2148.0,2025-06-01,89.0,23124.0,1.32458602112842,103.848173371262,23 AKYAB ROAD PAVILION 11 SINGAPORE 309978,4.609115779437775,3.0,2,3,5,12,18,5,3.0,1.0,1,0
PARK INFINIA AT WEE NAM,2300000.0,968.76,2374.0,2025-06-01,90.0,25556.0,1.31441386999901,103.843291191875,2A LINCOLN ROAD PARK INFINIA AT WEE NAM SINGAPORE 308364,3.57796230174373,3.0,3,2,2,14,11,6,2.0,1.0,1,0
CUBE 8,1800000.0,925.7,1944.0,2025-06-01,86.0,20930.0,1.3283636088892,103.841418362322,376 THOMSON ROAD CUBE 8 SINGAPORE 298130,5.12816729630684,3.0,3,0,3,12,14,4,4.0,1.0,1,0
RESIDENCES @ EVELYN,4000000.0,1528.49,2617.0,2025-06-01,142.0,28169.0,1.31548497427322,103.839467418834,17 EVELYN ROAD RESIDENCES @ EVELYN SINGAPORE 309306,3.814435565431148,3.0,3,1,2,14,12,6,6.0,1.0,1,0
THOMSON 800,3218000.0,1625.36,1980.0,2025-06-01,151.0,21311.0,1.3411028334318,103.838741075921,808 THOMSON ROAD THOMSON 800 SINGAPORE 298190,6.567971581242121,3.0,4,1,0,13,13,2,2.0,1.0,1,0
L'VIV,2230000.0,1001.05,2228.0,2025-06-01,93.0,23978.0,1.31544838531983,103.840354841468,23 NEWTON ROAD L'VIV SINGAPORE 307955,3.778505845346688,3.0,3,1,2,14,12,6,2.0,1.0,0,0
THE ANSLEY,2100000.0,1097.93,1913.0,2025-06-01,102.0,20588.0,1.32327434333138,103.848835015461,33 MANDALAY ROAD THE ANSLEY SINGAPORE 308214,4.459842710119622,3.0,1,3,5,12,15,6,2.0,1.0,1,0
TRILIGHT,2500000.0,1087.16,2300.0,2025-06-01,101.0,24752.0,1.31447883237245,103.839899712589,7 NEWTON ROAD TRILIGHT SINGAPORE 307945,3.693489005647367,3.0,3,1,2,14,10,5,3.0,1.0,1,0
GOLDHILL TOWERS,3830000.0,1550.02,2471.0,2025-06-01,144.0,26597.0,1.32063427888985,103.833512083526,38 GOLDHILL AVENUE GOLDHILL TOWERS SINGAPORE 309021,4.594035889452083,3.0,4,0,0,14,8,3,3.0,1.0,0,0
